"","NumDeath","Country","Year"
"1",956,"Baden","before1914"
"2",5600,"Bavaria","before1914"
"3",920,"Bolivia","before1914"
"4",50000,"Bulgaria","before1914"
"5",3276,"Chile","before1914"
"6",25758,"China","before1914"
"7",10000,"Egypt","before1914"
"8",2800,"El Salvador","before1914"
"9",154124,"France","before1914"
"10",44781,"Germany","before1914"
"11",8100,"Greece","before1914"
"12",3200,"Guatemala","before1914"
"13",600,"Honduras","before1914"
"14",6000,"Italy","before1914"
"15",86000,"Japan","before1914"
"16",8000,"Morocco","before1914"
"17",400,"Nicaragua","before1914"
"18",9672,"Peru","before1914"
"19",1500,"Romania","before1914"
"20",191997,"Russia","before1914"
"21",2775,"Spain","before1914"
"22",230400,"Turkey","before1914"
"23",113,"United Kingdom","before1914"
"24",2931,"United States of America","before1914"
"25",976,"Wuerttemburg","before1914"
"26",33500,"Yugoslavia","before1914"
"27",1200000,"Austria-Hungary","WWI"
"28",13716,"Belgium","WWI"
"29",87500,"Bulgaria","WWI"
"30",1385000,"France","WWI"
"31",1773700,"Germany","WWI"
"32",5000,"Greece","WWI"
"33",650000,"Italy","WWI"
"34",300,"Japan","WWI"
"35",7222,"Portugal","WWI"
"36",335706,"Romania","WWI"
"37",1700000,"Russia","WWI"
"38",325000,"Turkey","WWI"
"39",908371,"United Kingdom","WWI"
"40",116516,"United States of America","WWI"
"41",70000,"Yugoslavia","WWI"
"42",33826,"Australia","WWII"
"43",9600,"Belgium","WWII"
"44",1000,"Brazil","WWII"
"45",10000,"Bulgaria","WWII"
"46",41992,"Canada","WWII"
"47",1350000,"China","WWII"
"48",5000,"Ethiopia","WWII"
"49",65000,"Finland","WWII"
"50",213324,"France","WWII"
"51",3500000,"Germany","WWII"
"52",18300,"Greece","WWII"
"53",136000,"Hungary","WWII"
"54",226900,"Italy","WWII"
"55",1740000,"Japan","WWII"
"56",3000,"Mongolia","WWII"
"57",7900,"Netherlands","WWII"
"58",12200,"New Zealand","WWII"
"59",3000,"Norway","WWII"
"60",320000,"Poland","WWII"
"61",3e+05,"Romania","WWII"
"62",8700,"South Africa","WWII"
"63",418765,"United Kingdom","WWII"
"64",405400,"United States of America","WWII"
"65",7500000,"USSR","WWII"
"66",305000,"Yugoslavia","WWII"
"67",56661,"Bolivia","interwar"
"68",53000,"China","interwar"
"69",2000,"Czechoslovakia","interwar"
"70",1000,"Estonia","interwar"
"71",16000,"Ethiopia","interwar"
"72",5000,"France","interwar"
"73",750,"Germany","interwar"
"74",30000,"Greece","interwar"
"75",6000,"Hungary","interwar"
"76",4000,"Italy","interwar"
"77",10526,"Japan","interwar"
"78",500,"Lithuania","interwar"
"79",36000,"Paraguay","interwar"
"80",40500,"Poland","interwar"
"81",3000,"Romania","interwar"
"82",60000,"Russia","interwar"
"83",100,"Saudi Arabia","interwar"
"84",55000,"Turkey","interwar"
"85",1400,"USSR","interwar"
"86",2000,"Yemen Arab Republic","interwar"
